1,Alachua
3,Baker
5,Bay
7,Bradford
9,Brevard
11,Broward
13,Calhoun
15,Charlotte
17,Citrus
19,Clay
21,Collier
23,Columbia
27,De Soto
29,Dixie
31,Duval
33,Escambia
35,Flagler
37,Franklin
39,Gadsden
41,Gilchrist
43,Glades
45,Gulf
47,Hamilton
49,Hardee
51,Hendry
53,Hernando
55,Highlands
57,Hillsborough
59,Holmes
61,Indian River
63,Jackson
65,Jefferson
67,Lafayette
69,Lake
71,Lee
73,Leon
75,Levy
77,Liberty
79,Madison
81,Manatee
83,Marion
85,Martin
86,Miami-Dade
87,Monroe
89,Nassau
91,Okaloosa
93,Okeechobee
95,Orange
97,Osceola
99,Palm Beach
101,Pasco
103,Pinellas
105,Polk
107,Putnam
109,St. Johns
111,St. Lucie
113,Santa Rosa
115,Sarasota
117,Seminole
119,Sumter
121,Suwannee
123,Taylor
125,Union
127,Volusia
129,Wakulla
131,Walton
133,Washington
